"","WB_1","WB_2","WB_3","WB_4","WB_5","WB_6","PBMC_1","PBMC_2","PBMC_3","PBMC_4","PBMC_5","PBMC_6","Gran_1","Gran_2","Gran_3","Gran_4","Gran_5","Gran_6","CD4+_1","CD4+_2","CD4+_3","CD4+_4","CD4+_5","CD4+_6","CD8+_1","CD8+_2","CD8+_3","CD8+_4","CD8+_5","CD8+_6","CD14+_1","CD14+_2","CD14+_3","CD14+_4","CD14+_5","CD14+_6","CD19+_1","CD19+_2","CD19+_3","CD19+_4","CD19+_5","CD19+_6","CD56+_1","CD56+_2","CD56+_3","CD56+_4","CD56+_5","CD56+_6","Neu_1","Neu_2","Neu_3","Neu_4","Neu_5","Neu_6","Eos_1","Eos_2","Eos_3","Eos_4","Eos_5","Eos_6"
"cg08538581",0.7373166,0.69951738,0.71126475,0.75509264,0.77744605,0.71856984,0.77208808,0.71927826,0.72697802,0.83249667,0.68550156,0.79777762,0.7105178,0.65476612,0.72576649,0.6359124,0.7329848,0.65317454,0.78323261,0.87625873,0.8042502,0.90722781,0.88060139,0.93606342,0.88110148,0.92693001,0.91261317,0.86629282,0.88069742,0.89269195,0.06100696,0.06272817,0.11997557,0.15412258,0.12997914,0.14523985,0.62435333,0.67703217,0.43884311,0.700297,0.5980704,0.76042296,0.88077144,0.86271659,0.86655219,0.86351375,0.86939699,0.87040746,0.77192408,0.70484523,0.71841491,0.71282515,0.73043435,0.64868489,0.85792796,0.80388165,0.85749394,0.84670837,0.83569664,0.89023187
"cg00208012",0.83271258,0.8183264,0.84089877,0.8474046,0.84665652,0.85055404,0.75617452,0.67284515,0.71792703,0.77175476,0.70686434,0.81207832,0.88395805,0.91381897,0.87856576,0.86353332,0.84256329,0.8854378,0.74416691,0.8286031,0.822544,0.82058571,0.84892312,0.88996546,0.84029238,0.85628565,0.88129787,0.8993081,0.92529774,0.88958184,0.20135239,0.08298851,0.15670131,0.1770908,0.20804437,0.25273903,0.77825132,0.83065228,0.70134178,0.8902941,0.8098163,0.88496551,0.83738671,0.76196163,0.80932914,0.85017615,0.80438357,0.88025533,0.8566653,0.82341599,0.88828397,0.87314299,0.8665076,0.80457708,0.89493254,0.88565981,0.89476209,0.89106844,0.90028582,0.8886005
"cg07002540",0.76059291,0.71683099,0.74260216,0.74137695,0.73147918,0.73708511,0.7096543,0.65219249,0.69160201,0.75697262,0.68110526,0.77219398,0.7506507,0.76529735,0.73785162,0.71824577,0.75358116,0.73912662,0.71282927,0.86700145,0.81154452,0.80663412,0.86045185,0.85415152,0.86936839,0.88465373,0.90792142,0.9114332,0.87570885,0.87696457,0.15403939,0.09024767,0.12479818,0.14499545,0.16259706,0.19529934,0.87486614,0.88464969,0.86921054,0.92999612,0.90560362,0.8942786,0.82914238,0.82257865,0.79608869,0.80523449,0.76302465,0.84581878,0.78859059,0.75682739,0.7700683,0.79439966,0.73091813,0.80196244,0.86681959,0.84303507,0.85345372,0.87210445,0.84765281,0.85184987
"cg20641531",0.8127174,0.8047475,0.7712476,0.7783344,0.7129786,0.7553693,0.8023786,0.7294266,0.8173253,0.7999671,0.7613218,0.8418519,0.727123,0.6783342,0.7266823,0.6794328,0.6854859,0.6857053,0.882349,0.8982269,0.9401088,0.9214646,0.902623,0.9193327,0.9246377,0.9328436,0.9279313,0.9401149,0.9353124,0.9252193,0.2022092,0.1085784,0.1704956,0.229435,0.1814128,0.2275075,0.9015328,0.9331672,0.8694245,0.9305747,0.9395611,0.9209628,0.9413068,0.9009385,0.8799593,0.898796,0.878326,0.9060357,0.7532561,0.7229254,0.6999979,0.7079411,0.6945062,0.7254185,0.884732,0.8929105,0.8812472,0.9001872,0.8654206,0.9288383
"cg08908131",0.79210594,0.77801686,0.81877517,0.81941369,0.84649699,0.84248829,0.66546365,0.56600438,0.69102526,0.76459962,0.66860084,0.7047394,0.87040254,0.86217631,0.9064923,0.86428936,0.88273098,0.88058699,0.69770614,0.81150345,0.82568394,0.83490651,0.8580079,0.80485613,0.7333994,0.78460306,0.79680318,0.82478347,0.85259543,0.79380881,0.17399457,0.09765997,0.14951484,0.19031934,0.14520702,0.21559161,0.78424221,0.83842314,0.79955663,0.87810588,0.85139568,0.8983563,0.7083054,0.61189006,0.68812088,0.80284759,0.7499659,0.76365585,0.87146405,0.87164256,0.88452796,0.87488503,0.8767614,0.82978968,0.89697878,0.86544302,0.89455509,0.85824329,0.88599487,0.87432272
"cg01024962",0.86153474,0.82239664,0.90540665,0.83277705,0.8176252,0.83381727,0.77227199,0.68054929,0.71922616,0.77821523,0.77723634,0.81533764,0.89019857,0.89614849,0.82023703,0.89558233,0.95357102,0.86127785,0.78749298,0.89096538,0.86065066,0.87963764,0.88983849,0.88298529,0.92912022,0.93674201,0.91967983,0.91418236,0.88305904,0.93773709,0.20126952,0.09466476,0.20717031,0.19893562,0.23679246,0.28247865,0.72979537,0.77268283,0.59685696,0.69142647,0.74404596,0.74147938,0.83731793,0.8095282,0.8300771,0.88016887,0.81719989,0.88994649,0.929119,0.84640339,0.89694749,0.90026054,0.88643061,0.91541931,0.92303031,0.8933821,0.89522185,0.94553715,0.95048259,0.92768318
"cg10278149",0.75777653,0.73908423,0.73120912,0.79014442,0.73884535,0.74285496,0.75657733,0.67171682,0.71333883,0.80579338,0.71211896,0.80883186,0.72522639,0.69002427,0.71858939,0.65386677,0.69694095,0.69994516,0.78109676,0.86063782,0.87518452,0.87993191,0.90627597,0.91544597,0.89933269,0.85983949,0.91376925,0.91047742,0.91392257,0.92305086,0.15260226,0.08721275,0.13780205,0.18381443,0.14817323,0.16819856,0.86536508,0.90665318,0.87323641,0.86087603,0.85995879,0.85991066,0.88227201,0.7923622,0.84431465,0.87482304,0.799723,0.87118318,0.7283711,0.69970199,0.73504519,0.68278042,0.71230487,0.70367103,0.73314376,0.6941958,0.71731492,0.73924938,0.75534118,0.70124108
"cg08694574",0.8501794,0.6850557,0.7269842,0.7826999,0.7749802,0.8104691,0.7770184,0.7273192,0.7610467,0.8045808,0.7622938,0.8362981,0.7343002,0.7160374,0.7348463,0.7003922,0.6884679,0.7930155,0.8275403,0.8940081,0.8868441,0.8787123,0.9045582,0.9275045,0.9178321,0.9251359,0.9240735,0.9316028,0.9356024,0.9603282,0.2141968,0.1349226,0.158903,0.2099706,0.1403721,0.2632231,0.9064958,0.9249163,0.9126463,0.9163824,0.9402991,0.9412675,0.8957495,0.8713135,0.8851856,0.8810404,0.8582644,0.9024627,0.7586356,0.7024861,0.7140492,0.6805883,0.7322703,0.8215612,0.8448867,0.8044412,0.8203099,0.8213866,0.8150153,0.8741312
"cg21459713",0.8086876,0.7934819,0.8503348,0.8603401,0.8439041,0.8639347,0.7727338,0.6975441,0.7475735,0.8039997,0.6909316,0.788836,0.8822355,0.8803131,0.8917465,0.8744803,0.8553821,0.8836216,0.763307,0.8491829,0.8369597,0.8494953,0.8745247,0.8891573,0.8017103,0.8548158,0.8185161,0.8779151,0.8673432,0.8866652,0.210144,0.164999,0.1863704,0.2372778,0.2238792,0.276947,0.871308,0.8715927,0.8339038,0.8986413,0.8974585,0.9219302,0.8562327,0.8756387,0.7921221,0.8328899,0.7901676,0.8878923,0.9097406,0.8847806,0.8927832,0.919951,0.8860863,0.8554693,0.9137724,0.9139944,0.9016974,0.9095595,0.9181753,0.9170635
"cg02780988",0.76939841,0.76359985,0.82994477,0.82577099,0.77765847,0.80685083,0.68699835,0.60061588,0.63961477,0.77775184,0.63454294,0.74899281,0.85570996,0.82940256,0.87374076,0.83358109,0.85361457,0.8544511,0.73760027,0.82202541,0.81836471,0.80157895,0.8154149,0.87586998,0.75951986,0.79916471,0.83152944,0.84862832,0.86641358,0.8445854,0.19297739,0.07821252,0.12578316,0.16932608,0.16061702,0.23723226,0.68028498,0.76236874,0.59146732,0.79934867,0.7135636,0.77518427,0.77398996,0.72275528,0.7681695,0.83560534,0.74304235,0.82219251,0.89025163,0.8734419,0.85211692,0.83551668,0.83272082,0.8143289,0.85042413,0.84425042,0.88660708,0.8513675,0.851651,0.89304948
"cg05242065",0.843292,0.8238531,0.8058739,0.8223116,0.7823094,0.792165,0.7355088,0.6372907,0.7905079,0.7613921,0.6906737,0.7578997,0.8439047,0.8050104,0.8180368,0.8339081,0.8284723,0.8046651,0.6949329,0.7694401,0.7460887,0.7777632,0.7634198,0.769447,0.9259459,0.9044079,0.9220825,0.9001149,0.8646371,0.9019781,0.222826,0.1352584,0.1891198,0.1726766,0.2053482,0.2616787,0.854826,0.8538055,0.8372362,0.873424,0.8442178,0.9044266,0.9040259,0.8941126,0.8860616,0.8889594,0.8067643,0.8905983,0.8802294,0.8538945,0.8581546,0.8321128,0.8291791,0.8326613,0.8627689,0.893158,0.8898773,0.8798273,0.8516871,0.9009493
"cg02244028",0.8384585,0.7763064,0.8104081,0.8352052,0.7883563,0.8402552,0.7528795,0.6612818,0.7135153,0.7912525,0.7082876,0.7801024,0.8644358,0.8776036,0.8607182,0.8473814,0.8694433,0.8731008,0.766444,0.8762712,0.8543877,0.876452,0.8723836,0.8715676,0.8786405,0.8738571,0.8955051,0.9012145,0.8921457,0.8965253,0.2390411,0.1269636,0.1684498,0.2448009,0.2431061,0.2709139,0.8697464,0.8965136,0.8358602,0.9069422,0.924134,0.8821538,0.8811402,0.8027811,0.8105837,0.8460845,0.7850147,0.8725757,0.860965,0.8610989,0.8802143,0.8718867,0.8594486,0.8544923,0.8829382,0.8956926,0.8940116,0.9052673,0.9068108,0.9235868
"cg04468741",0.8498734,0.7650645,0.8148695,0.8385078,0.8181516,0.8255443,0.7273191,0.6283449,0.6974378,0.7750775,0.6726135,0.7917988,0.86545,0.8255543,0.8411055,0.849796,0.8693883,0.9010727,0.7662761,0.8652928,0.8600348,0.8424144,0.8566111,0.8565637,0.8953639,0.8992514,0.902482,0.897321,0.9101834,0.9016136,0.1981984,0.126688,0.163748,0.1743097,0.2156296,0.2597265,0.9042858,0.9029162,0.9002817,0.9329532,0.9218069,0.9400336,0.8971917,0.8277862,0.8269984,0.8581297,0.7733662,0.8766067,0.8590251,0.7933703,0.8381483,0.8165738,0.8891789,0.8502764,0.6713352,0.6206903,0.7084815,0.6517947,0.6875096,0.7024916
"cg13781869",0.8835266,0.8229392,0.9080463,0.870428,0.8143075,0.9005367,0.8506094,0.7230639,0.7256061,0.8754771,0.7813916,0.8321261,0.9311058,0.9170719,0.8916151,0.9075518,0.8904484,0.8931585,0.794002,0.8611934,0.8534278,0.8369771,0.8535685,0.8892671,0.8850541,0.9162946,0.9598741,0.9176369,0.8936238,0.9012486,0.2811706,0.1821108,0.2826223,0.2523347,0.2204547,0.3035483,0.8405983,0.9040614,0.8961312,0.8889034,0.8809218,0.9147222,0.9228273,0.8979357,0.8883872,0.9454071,0.8295998,0.9365505,0.9270882,0.8942083,0.8813053,0.9150827,0.8881078,0.8912335,0.9069249,0.8879208,0.8887296,0.9227026,0.9243447,0.8977151
"cg04851465",0.8582567,0.7651438,0.8524299,0.8562827,0.7962865,0.8130326,0.8426724,0.7184672,0.7651021,0.8245403,0.7536978,0.8448602,0.8591,0.8503819,0.8664316,0.7845504,0.789579,0.8832788,0.8489947,0.8934488,0.9189172,0.9322288,0.9146508,0.8695477,0.9173466,0.9069344,0.9135394,0.9320112,0.9291647,0.9372282,0.2137556,0.1451369,0.2702385,0.2761472,0.2408987,0.3100297,0.9066278,0.9115399,0.9218782,0.940972,0.9301849,0.9309658,0.9361599,0.8907411,0.9386839,0.9138492,0.8418665,0.8830949,0.8863342,0.856526,0.8464454,0.8915671,0.8406153,0.8239627,0.868711,0.8372777,0.8596728,0.8713842,0.8639371,0.9199823
"cg01110616",0.7751551,0.7613974,0.7500639,0.6832526,0.7185313,0.7647797,0.6953116,0.6771696,0.7697471,0.8109173,0.6628439,0.7869752,0.6972841,0.7475964,0.8064921,0.7440235,0.6960847,0.7608835,0.8432482,0.9219362,0.9096891,0.8770745,0.876335,0.9347207,0.9224073,0.7715071,0.9127422,0.8620403,0.9435989,0.8616635,0.1985228,0.1627913,0.1957776,0.1961866,0.1707675,0.2114079,0.9415247,0.9389505,0.9061159,0.9112668,0.9122686,0.9582602,0.883161,0.8633355,0.8434182,0.8792934,0.7898087,0.8110712,0.7864127,0.7636918,0.7051259,0.7622284,0.7891476,0.6585432,0.8030826,0.8179712,0.7652152,0.7648737,0.84042,0.8673052
"cg20918393",0.8861115,0.8595947,0.9031796,0.9091881,0.8698329,0.9212807,0.8236344,0.7368548,0.8958743,0.858519,0.7351082,0.8696826,0.9410296,0.8591451,0.931506,0.8928414,0.902923,0.9426473,0.8377045,0.9579425,0.9559225,0.9685334,0.943954,0.9586938,0.9764147,0.9883975,0.9896384,0.9796735,0.9883506,0.9818104,0.2779924,0.2337266,0.249993,0.3288124,0.3124693,0.4089797,0.9896146,0.9854406,0.9677595,0.9839974,0.9775112,0.9933419,0.9638572,0.9384638,0.923,0.9258345,0.8839517,0.968044,0.9008305,0.8704918,0.9345177,0.9081727,0.8972827,0.9089376,0.9558811,0.9430602,0.9721308,0.9689129,0.9767799,0.9846153
"cg22675702",0.7811201,0.7493356,0.7832292,0.7683112,0.7436982,0.7802728,0.7279721,0.6182394,0.6773528,0.7386679,0.6535916,0.7200823,0.8107381,0.8004939,0.8157235,0.814464,0.8108274,0.8116486,0.715764,0.8309348,0.7982348,0.823713,0.798326,0.8429854,0.8489165,0.8473131,0.8528401,0.8604574,0.8447804,0.8428559,0.2039193,0.1159085,0.1592468,0.1861152,0.1849118,0.2161005,0.7872555,0.8327467,0.7614495,0.82721,0.8093227,0.8469245,0.8368448,0.7620761,0.7824946,0.8054029,0.7548985,0.8453884,0.8212478,0.8182925,0.7975613,0.8058467,0.7856067,0.7857276,0.7797471,0.7894563,0.7914969,0.7914714,0.8137489,0.784595
"cg24365417",0.7546881,0.7595253,0.7952084,0.6792313,0.7448324,0.7373117,0.6751671,0.6394129,0.7350451,0.714204,0.6814652,0.7597643,0.7912824,0.7695995,0.7586439,0.5827811,0.8569361,0.767378,0.7593153,0.855569,0.8539322,0.8445451,0.8442301,0.8755571,0.8559782,0.836412,0.900338,0.8540494,0.8590742,0.8868494,0.1903314,0.1241627,0.1540098,0.1691489,0.1874551,0.2071784,0.8264787,0.9129852,0.8572623,0.8746657,0.8654797,0.8892084,0.8325984,0.7499533,0.7754119,0.8042491,0.7372253,0.8597889,0.799038,0.7122744,0.7370733,0.6370786,0.7764672,0.7748149,0.779723,0.7214786,0.767663,0.6045696,0.7844366,0.7777458
"cg25517015",0.7515495,0.6770945,0.7559891,0.7104632,0.7488649,0.7781465,0.7386589,0.5908666,0.7618624,0.769959,0.6802217,0.756484,0.7327678,0.7029381,0.7252987,0.6430037,0.7467926,0.7164394,0.7922242,0.8370663,0.8363493,0.8489956,0.8919921,0.8637645,0.8578658,0.8397721,0.8695225,0.9244449,0.8810639,0.8406866,0.2205395,0.1577169,0.1969306,0.1892049,0.1432942,0.2192014,0.8986002,0.9025319,0.9076219,0.9041682,0.9210358,0.9760845,0.8159371,0.8022183,0.7989836,0.8154731,0.8088382,0.8733633,0.7665482,0.7154593,0.7564044,0.6995751,0.7750979,0.7293387,0.8334147,0.7833525,0.8219591,0.8053478,0.8347431,0.8742609
"cg13290254",0.823403,0.8539803,0.8491828,0.8952348,0.8346245,0.8819718,0.7835795,0.6996588,0.7806168,0.8456206,0.7435746,0.7969805,0.8673276,0.8785733,0.8980197,0.8855312,0.8556711,0.8934176,0.8090496,0.9146536,0.9034348,0.9049058,0.9462894,0.9244473,0.9399028,0.9306361,0.9376517,0.940003,0.9296888,0.922873,0.2867974,0.156055,0.2535389,0.3203206,0.2330196,0.3608091,0.7316107,0.836405,0.793153,0.9128431,0.8255756,0.8876459,0.889321,0.8612684,0.8504393,0.9013156,0.833686,0.9083294,0.9271649,0.8793066,0.9022852,0.8934399,0.8610782,0.8735752,0.9336308,0.9408636,0.9276394,0.9486121,0.9378037,0.9563601
"cg04478930",0.8218233,0.7959096,0.7951125,0.8217067,0.8136292,0.8705375,0.8018082,0.7317661,0.8483489,0.8383493,0.7017865,0.823013,0.8192471,0.7887107,0.8360769,0.7646151,0.7645171,0.8534065,0.8320442,0.8986659,0.8911976,0.8946169,0.9015514,0.9521766,0.8972516,0.914861,0.9325987,0.9188545,0.9420691,0.9253864,0.2877916,0.1557691,0.2117163,0.2462537,0.2051052,0.3039329,0.7485193,0.8417238,0.7142466,0.8230291,0.7952871,0.9047556,0.8790933,0.820489,0.8772635,0.8887031,0.8529197,0.8754293,0.8190001,0.7789101,0.787198,0.8043888,0.7583686,0.7859516,0.8151827,0.8314734,0.8493219,0.8471394,0.8628447,0.8752989
"cg27366072",0.7821944,0.7562074,0.7594456,0.7783071,0.7556214,0.8039305,0.7405435,0.6471651,0.6982531,0.7549599,0.6894163,0.7721048,0.7382602,0.7391915,0.7742513,0.7178911,0.7500676,0.7784408,0.8003454,0.915501,0.8721176,0.9121598,0.8877117,0.8794057,0.8833394,0.8913554,0.9040051,0.9201997,0.9155571,0.8934914,0.1992326,0.1075964,0.1662924,0.2067025,0.178343,0.2576277,0.763627,0.798055,0.7507119,0.8191055,0.8031981,0.8375693,0.87058,0.8209457,0.8152511,0.8522019,0.7968633,0.8882608,0.7447455,0.693569,0.7441398,0.7014609,0.748487,0.7620636,0.6705614,0.6634773,0.7136597,0.6778524,0.7477947,0.7216084
"cg12192282",0.709108,0.7771816,0.7080357,0.7111401,0.7813725,0.7238492,0.6717892,0.6470176,0.6954918,0.7430501,0.651081,0.6476243,0.7123041,0.7854452,0.7894922,0.8046423,0.8396501,0.6693405,0.6867727,0.8326643,0.7654681,0.7303875,0.7924933,0.7988725,0.6794867,0.7707099,0.7709914,0.8010268,0.8212682,0.7813093,0.1463679,0.1319248,0.1390398,0.2070125,0.2582203,0.2055651,0.5898892,0.7458129,0.4732374,0.7239105,0.728487,0.7772968,0.723114,0.6261597,0.7073502,0.8184061,0.7892576,0.719534,0.8334861,0.8329498,0.7745146,0.8143036,0.8805808,0.7403643,0.8769971,0.8686832,0.8844851,0.8843149,0.9117616,0.9254494
"cg07457727",0.8504455,0.8289963,0.8600814,0.8509504,0.8546515,0.8708108,0.766278,0.6669209,0.71013,0.7768884,0.7280673,0.821962,0.8874075,0.8873837,0.8976803,0.8944189,0.8966951,0.8877297,0.8003298,0.8831817,0.8594692,0.8705138,0.8857534,0.8928222,0.892636,0.8972635,0.9100192,0.916881,0.9136787,0.9154663,0.2909636,0.2232392,0.2585561,0.269533,0.2421401,0.367744,0.72085,0.8017232,0.6912131,0.8427561,0.7915289,0.8307231,0.8722148,0.8359178,0.8410534,0.8522888,0.810401,0.8983502,0.8843951,0.864489,0.8837741,0.8743256,0.8777673,0.8812153,0.8966635,0.8903585,0.8922374,0.8784222,0.899494,0.9127038
"cg16356013",0.7791604,0.7638437,0.7749952,0.7986247,0.7879224,0.767586,0.7463191,0.6506776,0.720133,0.7904153,0.6784788,0.7841507,0.7940873,0.7938992,0.7646181,0.774658,0.7774172,0.7669494,0.7911964,0.8796419,0.8468664,0.8792434,0.8557271,0.8710997,0.8779675,0.899218,0.9158695,0.9039393,0.8967727,0.9128417,0.3055947,0.1930321,0.2157137,0.2730322,0.2327156,0.3073451,0.8917564,0.8714063,0.8881983,0.8911122,0.9029025,0.9140671,0.8858987,0.849029,0.8274941,0.889975,0.8224947,0.8646174,0.8389314,0.7740961,0.7771703,0.7568519,0.7710637,0.7754181,0.8448521,0.8259885,0.8227181,0.8376174,0.8144021,0.8483683
"cg19015847",0.8439798,0.8171513,0.890384,0.951184,0.8903583,0.8965161,0.7687261,0.7002014,0.8192039,0.8501262,0.7916298,0.8173631,0.933328,0.9219995,0.9258681,0.9610004,0.9154211,0.9753448,0.8534879,0.8763985,0.8990324,0.87847,0.8995829,0.9147509,0.9131354,0.8452594,0.8930937,0.8477241,0.9260047,0.8473281,0.3862168,0.1712519,0.3844677,0.3563498,0.3152233,0.3475368,0.8888839,0.8984739,0.8669477,0.9177008,0.8617789,0.9101257,0.8542761,0.8350412,0.79753,0.9149902,0.8754711,0.9159645,0.9056107,0.8685691,0.9138479,0.9444551,0.9321656,0.9143744,0.8785954,0.9485505,0.9322807,0.9295107,0.9461179,0.9041891
"cg13313836",0.7684135,0.7533101,0.7942329,0.8055056,0.8086262,0.8392015,0.7757986,0.7755789,0.7481672,0.8178331,0.7656967,0.798927,0.8601127,0.8771593,0.8701782,0.8126961,0.840105,0.8550936,0.7689848,0.842616,0.9031723,0.8779478,0.8956075,0.8931762,0.9058895,0.8857339,0.9172974,0.941543,0.9237469,0.9040877,0.3219867,0.3479114,0.2988125,0.2474707,0.318303,0.2358406,0.8491032,0.9388133,0.8692348,0.8954957,0.922769,0.8881982,0.9200584,0.8521619,0.8743973,0.8653279,0.8007606,0.8248374,0.8668347,0.8392754,0.8496575,0.7972826,0.8427518,0.807165,0.8140536,0.8781656,0.8376292,0.7954065,0.914127,0.8306717
"cg11664417",0.8608485,0.8676198,0.8660974,0.8915638,0.8787688,0.8877531,0.8492302,0.7161716,0.7684291,0.8964151,0.823349,0.8446007,0.8876476,0.8922484,0.9098669,0.8909108,0.9046139,0.9133671,0.840831,0.921347,0.9395642,0.8543105,0.8866254,0.9066619,0.8601653,0.9033497,0.8950328,0.8937794,0.865072,0.8908232,0.3541333,0.2560422,0.3062131,0.3401745,0.3158713,0.3725818,0.7668414,0.8611708,0.7511758,0.877646,0.8149265,0.9006227,0.8524259,0.8652115,0.8674033,0.8656561,0.8268086,0.8752122,0.8667113,0.8989035,0.9506735,0.9385155,0.8997281,0.9279734,0.9221227,0.8902983,0.9201598,0.9043456,0.9791282,0.9162179
"cg07099567",0.8122878,0.7179128,0.7087486,0.7188962,0.7146016,0.74027,0.6606357,0.6770273,0.6886511,0.7786063,0.6866864,0.7693774,0.6798592,0.7300458,0.6822836,0.6092058,0.6614862,0.7184838,0.7674199,0.842784,0.8196083,0.851977,0.8713872,0.8390428,0.7182563,0.8056413,0.7853489,0.8888163,0.8804779,0.8305632,0.2317655,0.2703755,0.2584054,0.2365633,0.1791565,0.2413145,0.8112167,0.8471721,0.8084468,0.915511,0.8641665,0.8704116,0.7608169,0.7822566,0.7378715,0.8662243,0.8038005,0.8638136,0.7476046,0.7750897,0.6909701,0.7840092,0.7062263,0.7317689,0.9390245,0.8667683,0.8684177,0.9315045,0.9197295,0.9084776
"cg00646216",0.7370745,0.8968013,0.8141409,0.8672527,0.8431828,0.8156898,0.7785607,0.7242947,0.7099541,0.8444393,0.7087481,0.7956103,0.8839739,0.845691,0.8391705,0.8105479,0.8770529,0.8317161,0.8311247,0.8490148,0.8792532,0.9669956,0.8510503,0.8830115,0.7982617,0.8529985,0.8392827,0.8579456,0.92084,0.8293582,0.3005172,0.1896806,0.3018232,0.3280372,0.3621875,0.3322409,0.8723135,0.8694315,0.8932307,0.9346258,0.8777489,0.8547037,0.8289905,0.8427017,0.8073479,0.8948283,0.8405247,0.8747349,0.9277042,0.8740827,0.860374,0.8974781,0.8686663,0.8874944,0.9079006,0.8457094,0.8950677,0.8871584,0.9057024,0.8296151
"cg22209723",0.8374246,0.8251545,0.8767838,0.8937685,0.9072132,0.8589346,0.8532151,0.862107,0.8589733,0.8926238,0.85623,0.8968751,0.8615693,0.8627565,0.8740209,0.8562916,0.8853805,0.8685806,0.8852302,0.9345804,0.9095026,0.937339,0.9324088,0.9261253,0.888869,0.9352927,0.9485615,0.9482416,0.9575604,0.925563,0.3164437,0.2263626,0.3695099,0.4105155,0.4795432,0.3485362,0.9237368,0.9352242,0.916644,0.9692755,0.9673582,0.9578765,0.8882783,0.8721485,0.8931731,0.9220599,0.9162327,0.9653228,0.884797,0.8905106,0.8932196,0.8761166,0.9178961,0.9198428,0.9197068,0.9291236,0.9358579,0.9610223,0.9302133,0.9440082
"cg22056336",0.8271902,0.8509839,0.8650058,0.8196233,0.8753881,0.8597225,0.7314516,0.672764,0.8112001,0.8247985,0.7109046,0.822666,0.9333011,0.9367825,0.9104676,0.936134,0.8677842,0.8941248,0.8225174,0.8534314,0.798157,0.8159788,0.8562074,0.8430995,0.8485941,0.8479663,0.8684643,0.8671711,0.909592,0.8795503,0.3169366,0.1934262,0.3439787,0.3320504,0.2451228,0.3875349,0.7283108,0.7811008,0.6677326,0.7912176,0.7450858,0.8065864,0.8957491,0.8616994,0.7839311,0.8685777,0.8153883,0.7983205,0.9396676,0.9089136,0.9019529,0.9188784,0.8946168,0.9201438,0.925644,0.8820807,0.9179045,0.8965105,0.923968,0.9321781
"cg26953469",0.8093887,0.8185194,0.8451758,0.8525722,0.8433227,0.8282325,0.7796264,0.6680789,0.7463474,0.8164761,0.7250682,0.792459,0.8556555,0.8617243,0.8867573,0.8981807,0.8682917,0.8585279,0.7912597,0.8893901,0.9121127,0.9068601,0.8826361,0.8885393,0.8967618,0.9095587,0.9177856,0.9253401,0.9010293,0.9092367,0.298564,0.2753851,0.3090077,0.3207916,0.336671,0.3421038,0.9027778,0.9005617,0.9000822,0.9151019,0.9214437,0.8994069,0.8792213,0.8352573,0.8302762,0.8777746,0.8264628,0.8736116,0.8570698,0.8403478,0.8676488,0.856773,0.8666684,0.8660269,0.8454476,0.8352473,0.8674537,0.8576976,0.8683875,0.7917894
"cg04764839",0.8050326,0.8018348,0.7602643,0.7831614,0.7508888,0.7706263,0.7612151,0.7038587,0.7106457,0.7946754,0.7331411,0.7999918,0.8217042,0.8090565,0.7817742,0.8035931,0.8285459,0.8362722,0.7592459,0.8899363,0.8464315,0.8546406,0.80971,0.8658607,0.9120743,0.8322708,0.8856141,0.9093205,0.878324,0.8258065,0.2528678,0.1062753,0.3140151,0.3141233,0.4074612,0.257391,0.8753429,0.8474898,0.7761361,0.8354128,0.8290806,0.8307321,0.8435375,0.8699309,0.7828014,0.8541572,0.7867336,0.8459599,0.8387895,0.7944818,0.7723011,0.7989972,0.7759581,0.8472865,0.8328583,0.8076548,0.8009745,0.816969,0.8191369,0.8792345
"cg16766036",0.9602493,0.9292963,0.9561398,0.91895,0.9249658,0.9559338,0.8581169,0.7840401,0.9011958,0.8752518,0.8441851,0.9325725,0.9746273,0.9789064,0.9588003,0.9687573,0.9733745,0.9538385,0.8618352,0.9411491,0.9800762,0.946614,0.9024761,0.9660453,0.94379,0.9327437,0.9494857,0.969014,0.9678406,0.9816933,0.3991258,0.3121798,0.4217796,0.4510602,0.4230183,0.5120877,0.9416664,0.9645378,0.932898,0.9500232,0.9564453,0.9863881,0.9582718,0.9217179,0.9021669,0.9281965,0.8861389,0.9826736,0.9845258,0.9609276,0.9773635,0.9648927,0.9748369,0.9451887,0.9753218,0.9635916,0.9716751,0.972462,0.9723648,0.9881206
"cg25765315",0.8804756,0.860623,0.8518222,0.8719509,0.8526473,0.8552587,0.7885405,0.6874275,0.78877,0.7984943,0.7330271,0.8244561,0.9054265,0.903569,0.9043359,0.8986868,0.9022966,0.8865661,0.8219999,0.8894669,0.8707825,0.8589316,0.8668974,0.89921,0.8740979,0.9137647,0.8827896,0.8904197,0.9183983,0.9043563,0.362651,0.3332059,0.3040176,0.3478448,0.3787988,0.3888431,0.8531644,0.8794692,0.790906,0.8774011,0.8601284,0.8961578,0.8553648,0.8711797,0.8416065,0.9105797,0.8446048,0.8907446,0.8935414,0.9124799,0.8871753,0.8884931,0.8890931,0.8925897,0.9137919,0.9157418,0.9158711,0.9053434,0.934911,0.9103925
